"Started by: Noli Ergas
1260 Unispin,,spin,"feet leave pedals, unicycle turns 1260 degrees relative to ground, feet land on pedals",Eli Brill,2012,,,1080 unispin,,Noli Ergas,
180 Back Flip,180 back,"twist, flip",180 flip with backwards wheel rotation,,,,,"180 twist, back crank flip",,Emile Mathieu,
180 double back flip,180 double back,"twist, flip",180 double flip with backwards wheel rotation,,,,,180 back flip,,Emile Mathieu,
180 Double Flip,,"twist, flip",180 twist + double flip,Shaun Johanneson,,,,"180 twist, double flip, 180 flip",,Emile Mathieu,
180 Flip,,"twist, flip",180 twist + crank flip,Shaun Johanneson,,http://www.relentlessbyfate.com/tricks.php,,"180 twist, crank flip",,Kevin McMullin,
180 no-handed unispin,,spin,180 unispin without using your hands (seat in to seat in),,,,,180 unispin,,Trey Haun,
180 Quad Flip,,"twist, flip",180 twist + quad flip,Krisz Kovacs,,,,"180 twist, quad flip, 180 triple flip",,Emile Mathieu,
180 Rev,,"twist, rev",180 twist + rev,,,,,"180 twist, rev",,Noli Ergas,
180 stepover legaround,Standup legaround body varial,"jam, footjam, crownjam","One foot on tire/crown, twist around body and make a wrap round the saddle with your foot at the same time",Bobousse? ,,https://www.instagram.com/p/BibddeigFki/,The very first thing in the combo,,,Ivar Christenson,
180 Superman,,"spin, wild",Superman ending in a 180 unispin,Eli Brill,2012,,,"Superman, 180 unispin",,Noli Ergas,
180 triple back flip,180 triple back,"twist, flip",180 triple flip with backwards wheel rotation,Eli Brill,2011,,,"180 twist, triple back flip",,Emile Mathieu,
180 Triple Flip,,"twist, flip",180 twist + triple flip,,,,,"180 twist, triple flip",,Emile Mathieu,
180 Twist,"180 Hop Twist, 180",twist,body and unicycle turn 180 degrees in the air relative to direction of travel,,,,,,,Trey Haun,One of the foundational tricks
180 Unispin,1 Spin,spin,"feet leave pedals, unicycle turns 180 degrees relative to ground, feet land on pedals",,,http://www.relentlessbyfate.com/tricks.php,,,,Trey Haun,One of the foundational tricks
270 Twist,"270 Hop Twist, 270",twist,body and unicycle turn 270 degrees in the air relative to direction of travel,,,,,,,Noli Ergas,Term only used with going to or from a pedal/crank grab
270 Unispin,,spin,"Spin the unicycle 270 degrees, land on unicycle (either from pedals up to tire, or, from tire down to pedals)",,,,,90 unispin,,Noli Ergas,
180 body varial,,,,,,,,,,Nakul Mohakar,
360 body varial double flip,,"varial, flip",360 body varial + double flip,Emile Mathieu,2013,https://youtu.be/hd1w8IruHpM?t=36,0:36,"360 body varial flip, double flip",,Emile Mathieu,
360 body varial,,varial,"feet leave pedals, body turns 360 degree relative to unicycle, feet land on pedals",Spencer Hochberg,,,,180 body varial,,Emile Mathieu,
360 body varial flip,,"varial, flip",360 body varial + flip,Emile Mathieu,2013,,,"360 body varial, crank flip",,Emile Mathieu,
360 Dan Heaton,360 DH,handstepover,"Dan Heaton trick, except with a 360 body varial",Ivar Christenson,2017,https://youtu.be/xAYNzh54yhM,2:50,Tire grab body varial,,Noli Ergas,
360 flip,,"twist, flip",360 twist + flip,,,,,"360 twist, crank flip, 180 flip",,Emile Mathieu,
360 no-handed unispin,,spin,360 unispin without using your hands,Tim Desmet,2010,https://www.youtube.com/watch?v=Iqcov1KBKQg&t=165s,3:13,180 no-handed unispin,,Tim Desmet,
360 Rev,,"twist, rev",360 twist + rev,,,,,"360 twist, rev",,Noli Ergas,
180 side spin,,,,,,,,,,,
360 Side Spin,"3 Side, Side Spin","spin, wrap",360 unispin where one leg wraps around seat in same direction unicycle spins,Kevin McMullin,,https://www.youtube.com/watch?v=fimqhgDlN_E,0:00,360 unispin,,Kevin McMullin,Felix Dietze landed a seat in front to seat in back version around the same time (0:29 in https://www.youtube.com/watch?v=fKzUp2UkK-Q)
360 Twist,"360 Hop Twist, 360",twist,body and unicycle turn 360 degrees in the air relative to direction of travel,,,,,180 twist,,Noli Ergas,
360 Unispin,"360, 3 Spin",spin,"feet leave pedals, unicycle turns 360 degrees relative to ground, feet land on pedals",,,http://www.relentlessbyfate.com/tricks.php,,180 unispin,,Noli Ergas,
450 Unispin,,spin,"450 degree unispin either from pedals to tire, or from tire to pedals",,,,,270 unispin,,,
540 Side Spin,540 Side,"spin, wrap",540 unispin where one leg wraps around the seat in the same direction that the unicycle spins,Adrien Delecroix,,,,360 side spin,,Trey Haun,
540 Twist,,twist,body and unicycle turn 540 degrees in the air relative to direction of travel,,,,,360 twist,,,
540 Unispin,,spin,"feet leave pedals, unicycle turns 540 degrees relative to ground (1.5 revolutions of unicycle spinning around vertical axis), feet land on pedals",,,,,360 unispin,,Trey Haun,
630 Unispin,,spin,"630 degree unispin either from pedals to tire, or from tire to pedals",,,,,450 unispin,,Trey Haun,
720 Side Spin,720 Side,"spin, wrap",720 degree spin of the unicycle while it also travels around your leg,Adrien Delecroix,2009,,,540 side spin,,Trey Haun,
720 Twist,,twist,body and unicycle turn 720 degrees in the air relative to direction of travel,Max Schulze,2011,https://www.youtube.com/watch?v=LCw8ncK0wxs,1:41,540 twist,,Noli Ergas,"Landed in only one session, off a ledge"
720 Unispin,,spin,Two full revolutions of unicycle spinning around a vertical axel,,,,,540 unispin,,Ivar Christenson,
810 Unipsin,,spin,"Uni spins 810 degrees (either from pedals to tire, or from tire to pedals)",,,,,630 unispin,,Trey Haun,
90 unispin,,spin,,,,,,,,Nakul Mohakar,
900 Side Spin,"900 Side, 9 Side","spin, wrap",900 degree unispin around your leg,Adrien Delecroix,2008,,,720 side spin,,Adrien Delecroix,
900 Unispin,"9 spin, niner",spin,900 unispin,Loic Baud,2008,https://vimeo.com/1101293,3:45,720 unispin,,Emile Mathieu,
Anti,,prefix,"""Anti"" added in front of ""side spin"" means the spin goes in the oposite direction as the wrap (clockwise spin for left leg front side, anticlockwise spin for left leg back side, and the oposites for the right leg) ",,,,,,,Ivar Christenson,
Ayrton kick,,Pedal push,Outside pedalkick,Ayrton Vasquez,2016,https://youtu.be/FDgji_eOULM,1:50,,,Ivar Christenson,
Back Crank Flip,"Back flip, backflip",flip,"feet leave pedals, wheel does 1 rotation backwards, feet land on pedals",Brian Lundgren,,http://www.relentlessbyfate.com/tricks.php,,,,Emile Mathieu,
Back Flip Over Flip,Back Over Flip,flip,back flip + over flip,Will Riley,,,,"back crank flip, over flip",,Noli Ergas,
Back Rev,,rev,"wheel leaves ground, feet pedal the wheel through one backward revolution, wheel lands on ground",,,,,,,Noli Ergas,
Back Rev Rev,,rev,Back Rev then forward Rev before landing on the ground,Tore Juncher Jørgensen,2015,https://www.youtube.com/watch?v=8lKgkVn1oXs,,"Back rev, rev",,Tore Juncher Jørgensen,
Back Roll,inside roll,roll,"back foot is on crank, free foot pushes back side of wheel 1/2 revolution on ground, free foot kicks/pushes tire so wheel revolves additional 1/2 revolution backwards while back foot leaves crarnk, both feet land on pedals/cranks",Xavier Collos,,,,Push Mush,,Emile Mathieu,"Originally inside and back roll were used interchangeably, but in the end backroll was use more proeminantly even though inside and outside roll made more sense as the foot position on the crank."
Back roll 2.5 flip,,roll,Back roll with 2.5 wheel rotation instead,,,,,back roll flip,,Emile Mathieu,
Back roll 3.5 flip,,roll,Back roll with 3.5 wheel rotation instead,,,,,back roll 2.5 flip,,Emile Mathieu,
Back roll flip,,"roll, flip","starts as a back roll but the second half revolution is replaced with a jump where the release of the foot on the tire and the foot on the crank creates a back crankflip, most oftenly 1,5 revolutions but also more and less happens (examples: backroll 3.5 flip, backroll double flip, or backrollflip refering to a one single revolution flip)",Spencer Hochberg,2007,,,back roll,,Spencer Hochberg,
Back roll forward flip,,"roll, flip",starts as a back roll but the second half revolution is replaced with a jump where the release of the foot on the tire and the foot on the crank creates a forward crankflip,,,,,back roll,,Ivar Christenson,
Back roll forward 2.5 flip,,"roll, flip",starts as a back roll but the second half revolution is replaced witha. jump where the release of the foot on the tire and the foot on the crank creates a forward crankflip that goes 2.5 revolutions,,,,,back roll forward flip,,Trey Haun,
Back roll step over,,roll,"starts as a backroll but after the first half revolution, front foot is placed behind the crown of the tire and the back foot is lifted over the seat and comes down to the opposite crank as the second half revolution is completed",,,,,back roll,,Trey Haun,
Back scuff coast,"back scuff, scuff coast",coast,One footed seat in front backward coasting (this one is generally easier than forward),,,,,,,Trey Haun,
Back side,,prefix,"Opposite leg than a ""regular"" side",,,,,,,Emile Mathieu,
Back Slide,,grind,grind in which rider is facing backward,Dan Heaton,,https://www.youtube.com/watch?v=wSbdmdCqGhc&t=51s,1:15,,,Kevin McMullin,Original version is in UNiVERsE
Back tire grab,,grab,Grabing the back of the tire with the hand during a hop,Dan Heaton,,,,tire grab,,Emile Mathieu,
Backwards coasting,,coast,Coasting but riding backwards,,,,,coasting,,Emile Mathieu,
Backwards one footed coasting,,coast,One footed coasting but backwards,,,,,one footed coasting,,Emile Mathieu,
Backwards Rolling Wrap,"back rolling wrap, reverse rollingwrap",roll,"starts similar to a backroll, but your hand should be on the handle of the seat. after the first half roll backward, the free foot (front foot) goes to the other crank. The seat is passed behind your back to your other hand and there will be a moment when both feet are on the cranks and both hands are on the seat. Then pass the seat to your other hand as your front foot rolls the second half revolution backward (this may sound like a very complicated explanation but just imagine a rolling wrap in reverse)",,,https://youtu.be/QkvT4tQBISw?feature=shared&t=116,,rolling wrap,,Trey Haun,
Backwards varial roll,back varial roll,roll,,,,,,,,Emile Mathieu,
Backwards wheel walk,,walk,Wheel walking but backwards,,,,,,,Emile Mathieu,
Backwards X Roll,Back X roll,roll,,,,,,,,Emile Mathieu,
Bay Coast,,coast,"feet leave pedals, wheel rolls on ground, feet land in bay position (feet on tire on either side of frame while rider remains seated), wheel rolls on ground, feet land on pedals",,,,,,,Noli Ergas,
Bay Flip,Baeflip,flip,"feet leave pedals, feet land in bay position (feet on tire on either side of frame while rider remains seated), wheel does 1 revolution, feet land on pedals",Justin Abbott,,https://www.youtube.com/watch?v=7M10PQSb-dE,3:20,,,Emile Mathieu,"""Bay"" in bay flip refers to the ""Bay Area"" of California, where the trick originated. The spelling ""Bae"" is Brundlespeak propogated by Alex Anderson"
Bay Walk,,walk,Side walk in bay seat position,,,,,,,Emile Mathieu,
Big flip,,"twist, spin, flip",Big spin + flip,,,,,,,Emile Mathieu,
Big side flip,,"twist, spin, flip",Big side spin + flip,,,,,,,Emile Mathieu,
Big side spin,,"twist, spin",Big spin + side,,,,,,,Emile Mathieu,
Big Spin,,"twist, spin",360 unispin + 180 body varial in the same direction,,,,,"360 unispin, 180 body varial",,Emile Mathieu,
Blind -,,prefix,"There are two definitions of Blind... 1) Twist, Spins, or Grinds opposite the rider's comfortable direction... 2) Twists or Spins in the direction away from the front foot",,,https://www.youtube.com/watch?v=Emt1AQDjCpE,,,,Trey Haun,"For some riders, blind is their comfortable spinning direction, and for other more experienced riders, they are equally comfortable in both spinning directions."
Blunt Grind,,grind,"Grind where riders starts on one side of obstacle, jumps, and grinds the opposite side",Dan Doerksen,,https://www.youtube.com/watch?v=Tg6DcckVWEY,2:09,Grind,,Kevin McMullin,
Body Varial,,varial,"feet leave pedals, body turns 180 degree relative to unicycle, feet land on pedals",,,,,,,Noli Ergas,
Boom Boom Flip,,flip,"Flip, one footer, over flip",Raphael Pöham,,,,stutter flip,,Emile Mathieu,"It was named like this due to the sound it makes. The catch with the back foot (one footer) for the first ""boom"" followed by the overflip, second ""boom""."
Brake Coasting,,coast,"riding forward with no feet on the pedals, but a brake engaged to maintain balance (requires unicycle with a brake)",,,,,Coasting,,Noli Ergas,
Branch Flip,,flip,"""flip"" with the hand while balancing with one foot on the seatpost and the saddle",(maybe) emile themelin,(maybe) 2018,https://youtu.be/NJKMf3o4GAE?t=18s,0:18 & 0:32,,,emile themelin,I do not know if anyone has already done this.
Brill Whip,,whip,"From hop on tire, seat is thrown backward so that seat does one revolution around wheel in the plane perpendicular to the wheel, feet land on tire",Eli Brill,2015,https://youtu.be/aLuftteM2aw,,,,Noli Ergas,Landed only once
Brink Spin,,spin,rear tire grab followed by a unispin,Christian Brink Westergaard,2012,,,"back tire grab, 180 unispin",,Noli Ergas,
Buddha Flip,,flip,"A seat-in to seat-in x up flip done one-handed, while kicking one leg forward for style",Krisz Kovacs,,,,"crank flip, X Up",,Trey Haun,
Caught,,prefix,feet land on pedals/cranks/tire and trick is completed while unicycle is still mid-air,,,,,,,Noli Ergas,
Caveman Mount,,mount,"rider runs holding uni saddle or saddle handle in one hand, and tire in other hand, jumps and lets go of wheel, lands on uni (can also be caught in air)",,,,,Jump Mount,,Trey Haun,
Clapper Grind,The Clapper,grind,grind where rider claps hands during grind,,,https://www.youtube.com/watch?v=OZ6P-qRUPuU,3:34,,,Noli Ergas,
Coasting,,coast,"Riding forward with no feet on the pedals, generally with one or both feet on the frame",,,,,,,Noli Ergas,
Crank Flip,Flip,flip,"feet leave pedals, wheel does 1 rotation forwards, feet land on pedals",Mike Clark,,https://vimeo.com/104804819,,No footer,,Emile Mathieu,One of the foundational tricks
Crank grab,,basic,Jumping up to tire on an obstacle from the crank,,,,,,,Emile Mathieu,
Crank Idle,,basic,idle with one foot on a pedal and the other foot on the crank on the same side of the unicycle,,,,,,,Noli Ergas,
Crank Stall,,basic,landing on an object with the crank and spending a moment in this position,,,,,,,,
Crossing dolphins,ivarial,handstepover,"Both feet doing dolphins but in oposite directions through the ""ring"" ",Ivar Christenson,2017,https://youtu.be/xAYNzh54yhM,0:45,,,Ivar Christenson,"Name ivarial invented by Emile Themelin, third to land the trick, second was Scotty"
Daiki Walk,"Daiki, seat on side stand up",walk,stand up wheel walk seat on side (pushing foot is closer to the saddle),*not Daiki Izumida*,,,,stand up wheel walk,,Noli Ergas,"*NOT invented by Daiki Izumida, but the trick has been named after him by Western unicyclists: http://www.unicyclist.com/forums/showthread.php?t=63996"
Decade,,"wrap, varial",Backside 360 body varial,Kelly Hickman,,,,360 body varial,,Emile Mathieu,
Decade double flip,,"wrap, varial, flip",Decade + double flip,Emile Mathieu,2013,,,Decade flip,,Emile Mathieu,
Decade flip,,"wrap, varial, flip",Decade + Flip,Emile Mathieu,2011,https://www.youtube.com/watch?v=1STSulu3xlY,0:00,Decade,,Noli Ergas,
Dolphin flip,,flip,"hold the front and back of the saddle. While doing a crankflip, pull one leg between your two arms, over the saddle, then land back on pedals/cranks",,,,,side flip,,Trey Haun,
donkey hick,,"spin, flip",Donkey kick + 180 unispin,Jerad Glatt,,https://www.dailymotion.com/video/xf1z4,1:33,donkey kick,,Emile Mathieu,
donkey kick,,flip,"SIF, one foot on the frame, one foot on the tire, kicking the tire to make the wheel rotate 1 revolution backward, land back to pedals",,,,,,,Emile Mathieu,
donkey trey,,"spin, flip",Donkey kick + 360 unispin,,,,,donkey hick,,Emile Mathieu,
Double Back Flip,,flip,"feet leave pedals, wheel does 2 rotations backwards, feet land on pedals",,,,,back crank flip,,Noli Ergas,
Double Flip,Double,flip,Crank flip with 2 rotations,Shaun Johanneson,2004,https://vimeo.com/104804819,,crank flip,,Noli Ergas,
Double Flip Over Rail,,"flip, grind","grind on a rail to double crank flip occuring over the rail, rider lands on other side of rail",Noli,2018,,,double flip,,Noli Ergas,
Double Leg Wrap,,wrap,"one foot leaves the pedal/crank/tire, wraps around seat twice, and lands back on pedal/crank/tire",,,,,leg wrap,,Trey Haun,
Double Rev,,rev,"wheel leaves ground, feet pedal the wheel through two revolutions, wheel lands on ground",,,,,rev,,Noli Ergas,
Double Swivel Grind,,grind,pedal grind where wheel does 2 full revolutions during grind,Pele Schramm,,,,,,Noli Ergas,
Early Flip,,flip,"Walk the Dog except before the wheel rotation is completed, tire leaves ground and feet land on pedals in the air",Lars Anderson,,https://www.instagram.com/p/BL-2XGYB30d/,,walk the dog,,Noli Ergas,"related, yet different, trick = Pressure Flip"
Fakie,,prefix,indicates trick begins with unicycle traveling backward,,,,,,,Noli Ergas,
Fakie Change,,"flip, varial",sex change while riding backwards,,,http://www.relentlessbyfate.com/tricks.php,,sex change,,Noli Ergas,
Fakie Flip,,flip,back flip while riding backwards,,,,,back crank flip,,Noli Ergas,"This definition has mostly reached consensus, but some people believe this should be a forward crank flip while riding backwards, and that usage may still persist"
Fifth Double Flip,,"spin, flip",540 unispin + double flip,Adrien Delecroix,2008,,,fifth flip,,Adrien Delecroix,
Fifth Flip,Fifth,"spin, flip",540 unispin + crank flip,,,http://www.relentlessbyfate.com/tricks.php,,"540 unispin, crank flip",,Noli Ergas,
Fifth Quad Flip,,"spin, flip",540 unispin + quad flip,Colby Thomas,,,,fifth triple flip,,Noli Ergas,
Fifth Triple Flip,Friple,"spin, flip",540 unispin + triple flip,Colby Thomas,,,,fifth double flip,,Colby Thomas,
Finger flip,Over Forward Finger Flip,"flip, pedal push",crankflip where you flip the wheel using your hand by pushing the front pedal forward,Eli Brill,,,,,,Jelle Dillen,
Finger inflip,Over Forward Finger Inflip,"spin, flip, pedal push","crankflip where you flip the wheel using your hand by pushing the front pedal forward, followed by an inspin",Jelle Dillen,,,,finger flip,,Jelle Dillen,
Firecracker,,basic,riding down stairs quickly,,,,,,,Noli Ergas,"Term comes from skateboarding, where the sound of the skateboard wheels on the stairs sounds like a firecracker"
Flag flip,,"spin, flip",270 unispin + crankflip + foot jam,,,,,"270 unispin, crank flip",,Emile Mathieu,
Flip Over Rail,,"flip, grind","grind on a rail to crank flip occuring over the rail, rider lands on other side of rail",,,,,crank flip,,Noli Ergas,
Flip Under Flip,,flip,crank flip + under flip,,,,,"crank flip, under flip",,Noli Ergas,
Flip under fulloutflip,,flip,crankflip + under fulloutflip,Waylon Batt,,,,Flip under outflip,,Loïc Miara,
Flip under outflip,,flip,crankflip + under outflip,,,,,Flip Under Flip,,Jelle Dillen,
foot plant,no comply,basic,When a rider jumps off the unicycle takes a step on his foot and then jump back on the unicycle,,,,,,,Emile Mathieu,
Forward scuff coast,,coast,One footed seat in front forward coasting,,,,,Back scuff coast,,Emile Mathieu,
Forward scuff glide,,glide,One footed seat in front forward gliding,,,,,,,Ivar Christenson,
Frame balance,Frame stall,"basic, position, balance",saddle and tyre touching ground (no pedals touching ground!!) standing on the frame,,,https://youtu.be/0b-Ggx_YnZg,0:20,,,Ivar Christenson,
Front roll,forward roll,roll,,,,,,out back flip,,Emile Mathieu,
Full Out Back flip,full out back,"spin, flip",full out flip with backwards wheel rotation,,,,,"Full out spin, back crank flip",,Emile Mathieu,
Full out back side back flip,,"wrap, spin, flip",Full out side back flip + back side,,,,,Full out back side spin,,Emile Mathieu,
Full out back side flip,,"wrap, spin, flip",Full out back side + crankflip,Adrien Delecroix,2008,,,Full out back side spin,,Adrien Delecroix,
Full out back side kickflip,,"wrap, spin, flip",Full out back side + kick flip,Tim Desmet,,https://www.youtube.com/watch?v=wHVQ8GLEq-w,2:43,Full out back side spin,,Tim Desmet,
Full out back side spin,,,"Starting seat in, a 360 unispin + back side (360 spins out from behind your leg, the leg wrap and spin are going in the same direction)",,,,,Full out spin,,Trey Haun,
Full Out Flip,,"spin, flip",Full out spin + flip,,,,,"full out spin, crank flip",,Emile Mathieu,
Full out side double flip,,"wrap, spin, flip",Full out side spin + double flip,,,,,Full out side flip,,Emile Mathieu,
Full out side flip,,"wrap, spin, flip",Full out side spin + flip,,,,,Full out side spin,,Emile Mathieu,
Full out side spin,,,"360 side spin starting seat in, ending seat in",,,,,360 side spin,,Trey Haun,
Full Out Spin,,"spin, flip","360 unispin starting seat in, ending seat in",,,,,360 unispin,,Emile Mathieu,
Full Varial Back Flip,full varial back,"spin, flip",Full Varial Flip with backwards wheel rotation,Hugo Duguay,,,,Full varial flip,,Emile Mathieu,
Full Varial Flip,,"twist, spin, flip",Full out flip + 180 twist,Shaun Johanneson,,,,Full varial spin,,Emile Mathieu,
Full varial spin,,,,,,,,,,Nakul Mohakar,
Gliding,,"walk, glide",One foot wheel walk with enough speed that the tire glides under the rider's foot,,,,,,,Emile Mathieu,
Grind,,grind,pedal/crank/bearing cap/frame slides on an object other than the ground (generally pedal and/or crank),,,,,,,Noli Ergas,
Half Cab,,twist,fakie 180 twist,,,,,180 twist,,Noli Ergas,
Hand Back flip,,flip,"No footer, hand initiates tire rotation, wheel does one backwards rotation, feet land on pedals. There are two versions of the trick: 1) begin and end seat in, hand reaches in front of the frame crown on the uni and ""slaps"" the tire to initiate backwards rotation. This is similar to how a regular hand flip is done. 2) begin and end seat out, hand reaches behind the frame crown and grabs the tire to initiate backwards rotation. This is similar to how a Hot Dog Flip is done.",,,,,,,Trey Haun,
Hand Flip,,flip,"no footer, hand initiates tire rotation, wheel does one forward rotation, feet land on pedals",,,,,no footer tire grab,,Noli Ergas,
Hand fulloutflip,,flip,"no footer, hand initiates tire rotation, wheel does one forward rotation + a fulloutspin , feet land on pedals",Edmund Leduc,,,,Hand flip,,Loïc Miara,
hand plant,,basic,When a rider used his hand to jump or push themselves,,,,,,,Emile Mathieu,
Hand Wheel Walk,,walk,"Wheel is pushed with the hands, while feet are either on the frame or extended",,,,,,,,
Handrail Grind,,grind,"wheel leaves ground, pedal or crank lands on a handrail (in a real urban environment, i.e. not a skatepark), pedal/crank slides down the rail",Dan Heaton,,https://www.youtube.com/watch?v=tAM2s-cgiqk,0:38,,,Noli Ergas,
Hard Slide,,grind,grind with cranks vertical such that only a small part of the upward-facing crank near the axle is in contact with the obstacle,Christian Huriwai,,,,,,Noli Ergas,
Haunster Flip,Under Forward Finger Flip,"flip, pedal push","no footer, then grab the back pedal with your hand and pull it forward to initiate a crankflip, land back on pedals/cranks with seat out",Trey Haun,2024,,,,,Trey Haun,first landed at UniCon 21
Haunster Inflip,Under Forward Finger Inflip,"spin, flip, pedal push","haunster flip followed by an inspin (no footer, then grab back pedal and pull up to initiate a crankflip, then inspin)",Trey Haun,2024,,,Haunster flip,,Trey Haun,
Haunster Hot Dog Flip,"""Ain't Nothin But a Haun Dawg"", HaunsterDog","flip, pedal push","haunster flip but you reach behind your back leg (no footer, then hand reaches behind back leg to grab back pedal, pull the pedal forward to initiate a crankflip)",Trey Haun,2024,,,Haunster flip,,Trey Haun,
Hick Back kick flip,hick back kick,"spin, flip",180 unispin while kicking the tire to do a back flip,,,,,180 unispin,,Trey Haun,
Hick Double Flip,,"spin, flip",180 unispin + double flip starting seat in front,Shaun Johanneson,,,,hick flip,,Noli Ergas,
Hick Flip,"hick, inflip","spin, flip",180 unispin + crank flip starting and ending seat in front,Shaun Johanneson(CHECK NOTE),,http://www.relentlessbyfate.com/tricks.php,,"180 unispin, crank flip",,Emile Mathieu,"Shaun Johanneson landed the trick first, but after a friendly competition Kelly Hickman did it down a bigger set of stairs and Shaun named the trick after Kelly Hickman. http://www.unicyclist.com/forums/showpost.php?p=810125&postcount=7"
Hick Kick Flip,Kick Flip,"spin, flip",Hickflip but the wheel rotation speed is produced by a kick of the tire,,,,,180 unispin,,Emile Mathieu,
Hick over flip,hick over,"spin, flip",180 unispin + overtflip,,,,,"180 unispin, over flip",,Emile Mathieu,
Hick Quad Flip,,"spin, flip",180 unispin + quad flip starting seat in front,,,,,Hick Triple Flip,,Noli Ergas,
Hick Quint Flip,,"spin, flip",180 unispin + quint flip starting seat in front,Krisz Kovacs,,https://www.youtube.com/watch?v=oSgzMJP_SDY,,Hick Quad Flip,,Noli Ergas,
Hick Triple Flip,,"spin, flip",180 unispin + triple flip starting seat in front,,,,,Hick Double Flip,,Noli Ergas,
Hick Under Flip,hick under,"spin, flip",180 unispin + underflip,,,,,"180 unispin, under flip",,Emile Mathieu,
Hop,,basic,tire leaves ground with rider on unicycle,,,,,,,Noli Ergas,
Hop on Wheel,"HOW, Hop On Tire",basic,"Hopping with the unicycle perpendicular to the rider, both feet on the tire, holding the seat",,,,,,,Emile Mathieu,
